quánzhí, 全职
fēngōng, 分工
zhǔ, 主
jiāwǔshì, 家务事
chéngdān, 承担
liánxì, 联系
juésè, 角色
hù, 户
shàngshēng, 上升
huíguī, 回归
dàtǐ, 大体
lǐyóu, 理由
dānwèi, 单位
qiánjǐng, 前景
fúlì, 福利
dàiyù, 待遇
shìyè, 事业
huòdé, 获得
tiānlúnzhīlè, 天伦之乐
nǚxìng, 女性
suǒwèi, 所谓
guānkǒu, 关口
yíbìzhīlì, 一臂之力
quèshí, 确实
qiáng, 强
jiāohuàn, 减缓
wèizhì, 位置
nénggòu, 能够
bàngōng, 办公
mùqián, 目前
kànfǎ, 看法
zànchéng, 赞成
miànzi, 面子
kǎoyàn, 考验
guān, 管
jìn, 尽
yìwù, 义务
àiren, 爱人
hòugùzhīyōu, 后顾之忧
zhuānxīn, 专心
shuāngfāng, 双方
jìnlì, 尽力
héxié, 和谐
wúsuǒwèi, 无所谓
zhīchí, 支持
chēngzàn, 称赞
fùchū, 付出
jiégòu, 结构
láogù, 牢固
jiǎnshǎo, 减少
zhīchū, 支出
fāhuī, 发挥
guìzú, 贵族
gùdìng, 固定
bànlǚ, 伴侣
fùyǒu, 富有
zhǐ, 指
jùyǒu, 具有
shàngshù, 上述
báilǐng, 白领
jiēcéng, 阶层
yǎnghuo, 养活
qǐmǎ, 起码
wùzhì, 物质
jīchǔ, 基础
qítā, 其他
hòuxù, 后续
fǒuzé, 否则
tèzhì, 特质
chāoguò, 超过
jiāng, 将
suǒsuì, 琐碎
záshì, 杂事
tiáojié, 调节
wěntuǒ, 稳妥
yǒuxù, 有序
jīguān, 机关
gànbù, 干部
dàlíng, 大龄
shǔyú, 属于
shíshàng, 时尚
guāndiǎn, 观点
biàn, 变
wúqù, 无趣
zūnzhòng, 尊重
gǒnggù, 巩固
yǐ, 乙
rényuán, 人员
zhǔguān, 主观
kèguān, 客观
hékuàng, 何况
shuòshì, 硕士
yánjiūshēng, 研究生
gūniang, 姑娘
chéngtiān, 成天
yízhèn, 一阵
bùdéliǎo, 不得了
quánlìyǐfù, 全力以赴
bài, 败
jīnglì, 精力
kòngxián, 空闲
bǐng, 丙
gōngchéngshī, 工程师
shēnbiān, 身边
yuánfèn, 缘分
dào, 倒
shēnchù, 深处
dānqīn, 单亲
jùlèbù, 俱乐部
chéngyuán, 成员
bìnggù, 病故
yìwài, 意外
xiànxiàng, 现象
zēngduō, 增多
miànlín, 面临
shuāngchóng, 双重
guān'āi, 关爱
líyì, 离异
gǎn, 感
shènzhì, 甚至
shīqù, 失去
kùnjìng, 困境
huīfù, 恢复
shèqū, 社区
fùlián, 妇联
cānyù, 参与
zhǔbàn, 主办
bāokuò, 包括
tiáozhěng, 调整
xīntài, 心态
zàihūn, 再婚
díquè, 的确
yīnyǐng, 阴影
yángguāng, 阳光
gòngtóng, 共同
zhuīqiú, 追求
jiārù, 加入
fánxīn,  烦心
niányòu, 年幼
qīngsù, 倾诉
kǔmèn, 苦闷
pínghéng, 平衡
duōkuī, 多亏
wěiqu, 委屈
niàntou, 念头
yǐzhì, 以致
nèixiàng, 内向
chénmò, 沉默
guǎyán, 寡言
ǒurán, 偶然
kāilǎng, 开朗
jiànjiàn, 渐渐
chéngzhǎng, 成长
wèibì, 未必
fùmiàn, 负面
lèisì, 类似
jīgòu, 机构
duìxiàng, 对象
nèiróng, 内容
guānzhù, 关注
fǔwèi, 抚慰
cǐhòu, 此后
gòuchéng, 构成
jiè, 届
tèzhēng, 特征
chéngfen, 成分
yǐ, 以
qí, 其
huólì, 活力
tǐxiàn, 体现
dàng, 当
lǐniàn, 理念
rénwén, 人文
yíngzào, 营造
fēnwéi, 氛围
tuīguǎng, 推广
zàitǐ, 载体
chuàngzuò, 创作
yuánxíng, 原型
wùzhǒng, 物种
rénwù, 人物
wánquán, 完全
xūnǐ, 虚拟
xíngtǐ, 形体
tǒngchēng, 统称
wéi, 为
sècǎi, 色彩
línggǎn, 灵感
láiyuán, 来源
yú, 于
liáokuò, 辽阔
shānchuān, 山川
chuándì, 传递
yǒuyì, 友谊
hépíng, 和平
jìnqǔ, 进取
xiāngchǔ, 相处
měihǎo, 美好
shèngqíng, 盛情
dàibiǎo, 代表
fánróng, 繁荣
jīqíng, 激情
huǒbàn, 伙伴
zàoxíng, 造型
róngrù, 融入
xióngmāo, 熊猫
zànglíngyáng, 藏羚羊
yànzi, 燕子
yǐjí, 以及
shènghuǒ, 圣火
fēnggé, 风格
zhùfú, 祝福
tú'àn,图案
hānhòu, 憨厚
guóbǎo, 国宝
