quánzhí, 全职：専任の
fēngōng, 分工：分担する
zhǔ, 主：主
jiāwǔshì, 家务事：家事
chéngdān, 承担：引き受ける、担当する
liánxì, 联系：連絡する、結びつける
juésè, 角色：役、役目
hù, 户：戸(家を数える単位)
shàngshēng, 上升：登る、上がる
huíguī, 回归：戻る、変換される
dàtǐ, 大体：だいたい
lǐyóu, 理由：理由
dānwèi, 单位：単位
qiánjǐng, 前景：全景、見通し
fúlì, 福利：福利
dàiyù, 待遇：待遇
shìyè, 事业： 事業
huòdé, 获得：獲得する
tiānlúnzhīlè, 天伦之乐：一家団欒の楽しみ
nǚxìng, 女性：女性
suǒwèi, 所谓：いわゆる
guānkǒu, 关口：必ず通過するところ、関所
yíbìzhīlì, 一臂之力：わずかばかりの助力
quèshí, 确实：確実である、確かである
qiáng, 强：強い
jiāohuàn, 交换：交換する
wèizhì, 位置：位置、地位
nénggòu, 能够：できる、可能である
bàngōng, 办公：事務をする、執務する
mùqián, 目前：目下、現在
kànfǎ, 看法：見方、見解
zànchéng, 赞成：賛成する
miànzi, 面子：メンツ
kǎoyàn, 考验：試練を与える、試す
guān, 关：閉める、止める、関する
jìn, 尽：できるだけ〜する、尽くす
yìwù, 义务：義務
àiren, 爱人：配偶者
hòugùzhīyōu, 后顾之忧：憂いが無くなった
zhuānxīn, 专心：集中している
shuāngfāng, 双方：双方
jìnlì, 尽力：全力を尽くす
héxié, 和谐：調和がとれている
wúsuǒwèi, 无所谓：どちらともいえない、どうでもいい
zhīchí, 支持：我慢する、支持する
chēngzàn, 称赞：称賛する
fùchū, 付出：支払う
jiégòu, 结构：構成、仕組み
láogù, 牢固：堅固である、しっかりしている
jiǎnshǎo, 减少：減らす
zhīchū, 支出：支出
fāhuī, 发挥：発揮する
guìzú, 贵族：貴族
gùdìng, 固定：固定する
bànlǚ, 伴侣：伴侶、連れ
fùyǒu, 富有：〜に富む
zhǐ, 指：指す、指し示す
jùyǒu, 具有：備える
shàngshù, 上述：上述の
báilǐng, 白领：頭脳労働、⇔肉体労働
jiēcéng, 阶层：階層、階級
yǎnghuo, 养活：扶養する、面倒を見る
qǐmǎ, 起码：最低限、少なくとも
wùzhì, 物质：物質
jīchǔ, 基础：基礎
qítā, 其他：他の
hòuxù, 后续：後続の
fǒuzé, 否则：さもなくば
tèzhì, 特质：特有の性質や資質
chāoguò, 超过：追い越す
jiāng, 将：まもなく〜である、もうすぐ〜なる
suǒsuì, 琐碎：こまごまと煩わしい
záshì, 杂事：雑用
tiáojié, 调节：調節する
wěntuǒ, 稳妥：確かである、確実である
yǒuxù, 有序：秩序正しい
jīguān, 机关：機関、組織
gànbù, 干部：幹部、役員
dàlíng, 大龄：年齢の高い
shǔyú, 属于：〜に属する
shíshàng, 时尚：時代の流行
guāndiǎn, 观点：観点、見方
biàn, 变：変わる
wúqù, 无趣：味気ない
zūnzhòng, 尊重：尊重する
gǒnggù, 巩固：強固である
yǐ, 乙：2番目の
rényuán, 人员：人員
zhǔguān, 主观：主観的な
kèguān, 客观：客観的な
hékuàng, 何况：〜なら〜はいうまでもなく、それに、さらに
shuòshì, 硕士：修士
yánjiūshēng, 研究生：研究生、院生
gūniang, 姑娘：娘、未婚の女性
chéngtiān, 成天：一日中、終日
yízhèn, 一阵：ひとしきり、しばらく
bùdéliǎo, 不得了：大変だ、〜でたまらない
quánlìyǐfù, 全力以赴：全力をもって対処する
bài, 败：敗れる、負ける
jīnglì, 精力：精力、体力と気力
kòngxián, 空闲：暇になる
bǐng, 丙：3番目の
gōngchéngshī, 工程师：技師、エンジニア
shēnbiān, 身边：身近、身の回り
yuánfèn, 缘分：縁、ゆかり、関係
dào, 倒：ひっくり返す、注ぐ
shēnchù, 深处：奥底
dānqīn, 单亲：片親の
jùlèbù, 俱乐部：クラブ
chéngyuán, 成员：構成員、メンバー
bìnggù, 病故：病死する
yìwài, 意外：意外である
xiànxiàng, 现象：現象
zēngduō, 增多：多くなる、増える
miànlín, 面临：〜面している、直面する
shuāngchóng, 双重：2重の
guān'āi, 关爱：配慮し大切にする、気を配っていたわる
líyì, 离异：離婚する
gǎn, 感：感じる
shènzhì, 甚至：〜さえ、〜すら
shīqù, 失去：失う、なくす
kùnjìng, 困境：苦境
huīfù, 恢复：回復する
shèqū, 社区：コミュニティ
fùlián, 妇联：婦人
cānyù, 参与：参加する、関係する
zhǔbàn, 主办：主催する
bāokuò, 包括：含む
tiáozhěng, 调整：調整する
xīntài, 心态：心理状態
zàihūn, 再婚：再婚する
díquè, 的确：確かに、疑いなく
yīnyǐng, 阴影：暗い影
yángguāng, 阳光：日光
gòngtóng, 共同：共同の
zhuīqiú, 追求：追求する、求愛する
jiārù, 加入：加入する
fánxīn,  烦心：悩ましい、気を使う
niányòu, 年幼：幼い
qīngsù, 倾诉：腹を割って話す、思いをぶちまける
kǔmèn, 苦闷：苦悶している、思い悩む
pínghéng, 平衡：釣り合いがとれている、均衡がとれている
duōkuī, 多亏：〜のおかげである
wěiqu, 委屈：無念である、くやしい、嫌な思いをさせる
niàntou, 念头：考え、意図
yǐzhì, 以致：〜の結果になる
nèixiàng, 内向：内向的である
chénmò, 沉默：口数が少ない、沈黙する
guǎyán, 寡言：無口である
ǒurán, 偶然：偶然の、たまたま
kāilǎng, 开朗：こだわりがない
jiànjiàn, 渐渐：だんだん
chéngzhǎng, 成长：成長する
wèibì, 未必：必ずしも〜ではない、〜とは限らない
fùmiàn, 负面：消極的な
lèisì, 类似：類似する
jīgòu, 机构：メカニズム
duìxiàng, 对象：対象
nèiróng, 内容：内容
guānzhù, 关注：関心を持つ、注目する
fǔwèi, 抚慰：親切にいたわる、慰める
cǐhòu, 此后：それ以後、この後
gòuchéng, 构成：構成する、つくり上げる
jiè, 届：年度を数える単位
tèzhēng, 特征：特徴
chéngfen, 成分：成分、要素、身分
yǐ, 以：〜でもって
qí, 其：それ、あれ
huólì, 活力：活力
tǐxiàn, 体现：体現する
dàng, 当：担当する
lǐniàn, 理念：信念、理念
rénwén, 人文：人文
yíngzào, 营造：建造する
fēnwéi, 氛围：雰囲気
tuīguǎng, 推广：押し広める、普及させる
zàitǐ, 载体：伝達手段
chuàngzuò, 创作：創造する
yuánxíng, 原型：原型、プロトタイプ、モデル
wùzhǒng, 物种：種
rénwù, 人物：人物
wánquán, 完全：完全に
xūnǐ, 虚拟：仮想の
xíngtǐ, 形体：形体
tǒngchēng, 统称：総称する
wéi, 为：〜とする、〜とみなす
sècǎi, 色彩：色、傾向
línggǎn, 灵感：インスピレーション
